# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3]
21000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0.00825245 0.00332031
19 0.925 0.278878 0.128711
20 0.975 1.31841 0.787305
21 1.025 2.30966 2.0624
22 1.075 2.4596 3.55596
23 1.125 2.14512 4.98252
24 1.175 1.72901 6.23682
25 1.225 1.40201 7.34229
26 1.275 1.15497 8.32881
27 1.325 0.953426 9.2083
28 1.375 0.841214 10.0439
29 1.425 0.742858 10.8365
30 1.475 0.684896 11.6194
31 1.525 0.694991 12.4687
32 1.575 0.667154 13.3382
33 1.625 0.70972 14.3229
34 1.675 0.753975 15.4343
35 1.725 0.81578 16.7097
36 1.775 0.881793 18.1693
37 1.825 0.97109 19.8687
38 1.875 1.05582 21.8188
39 1.925 1.12593 24.0109
40 1.975 1.17152 26.4118
41 2.025 1.20391 29.0056
42 2.075 1.20759 31.7373
43 2.125 1.17782 34.5316
44 2.175 1.13298 37.3476
45 2.225 1.06112 40.1075
46 2.275 1.01492 42.8673
47 2.325 0.981156 45.6538
48 2.375 0.933328 48.4197
49 2.425 0.906206 51.2195
50 2.475 0.897819 54.109
22000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0.00970876 0.00390625
19 0.925 0.285177 0.132129
20 0.975 1.32916 0.796094
21 1.025 2.29781 2.06465
22 1.075 2.47134 3.56533
23 1.125 2.17405 5.01113
24 1.175 1.72874 6.26523
25 1.225 1.36387 7.34063
26 1.275 1.16103 8.33232
27 1.325 0.935429 9.19521
28 1.375 0.838363 10.028
29 1.425 0.738282 10.8157
30 1.475 0.697454 11.613
31 1.525 0.673812 12.4363
32 1.575 0.687084 13.3318
33 1.625 0.703878 14.3084
34 1.675 0.760533 15.4295
35 1.725 0.817279 16.7072
36 1.775 0.891174 18.1824
37 1.825 0.97801 19.8938
38 1.875 1.05428 21.8412
39 1.925 1.12227 24.0262
40 1.975 1.18205 26.4486
41 2.025 1.19911 29.032
42 2.075 1.20004 31.7467
43 2.125 1.17461 34.5334
44 2.175 1.12182 37.3216
45 2.225 1.07313 40.1128
46 2.275 1.02332 42.8954
47 2.325 0.965511 45.6375
48 2.375 0.938798 48.4196
49 2.425 0.900232 51.201
50 2.475 0.894633 54.0802
23000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0.0063107 0.00253906
19 0.925 0.279964 0.128418
20 0.975 1.31704 0.786328
21 1.025 2.30877 2.06094
22 1.075 2.4641 3.55723
23 1.125 2.14894 4.98633
24 1.175 1.74462 6.25195
25 1.225 1.38876 7.34697
26 1.275 1.13382 8.31543
27 1.325 0.955226 9.19658
28 1.375 0.830499 10.0216
29 1.425 0.747709 10.8193
30 1.475 0.702324 11.6222
