# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3]
21000 50
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 0 0
5 0.9 0 0
6 1.1 0 0
7 1.3 0 0
8 1.5 0 0
9 1.7 0 0
10 1.9 0 0
11 2.1 0 0
12 2.3 0 0
13 2.5 0 0
14 2.7 0.0591568 0.0296875
15 2.9 0.300943 0.203906
16 3.1 0.879892 0.785937
17 3.3 1.55717 1.95312
18 3.5 2.4314 4.00312
19 3.7 2.80753 6.64844
20 3.9 2.22029 8.97266
21 4.1 1.45391 10.6547
22 4.3 0.689464 11.532
23 4.5 0.358221 12.0312
24 4.7 0.336096 12.5422
25 4.9 0.524356 13.4086
26 5.1 0.606689 14.4945
27 5.3 0.646642 15.7445
28 5.5 0.524664 16.8367
29 5.7 0.722609 18.4523
30 5.9 0.831978 20.4453
31 6.1 1.34124 23.8797
32 6.3 1.69508 28.5094
33 6.5 1.61737 33.2117
34 6.7 1.57234 38.0688
35 6.9 1.05352 41.5203
36 7.1 0.856501 44.4914
37 7.3 0.734371 47.1844
38 7.5 0.777069 50.1922
39 7.7 0.901142 53.8687
40 7.9 0.918128 57.8117
41 8.1 1.03342 62.4773
42 8.3 1.13419 67.8539
43 8.5 0.973331 72.693
44 8.7 0.841947 77.0781
45 8.9 0.654606 80.6461
46 9.1 0.627383 84.2211
47 9.3 0.86021 89.3406
48 9.5 1.22505 96.9484
49 9.7 1.57531 107.148
50 9.9 1.53941 117.53
22000 50
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 0 0
5 0.9 0 0
6 1.1 0 0
7 1.3 0 0
8 1.5 0 0
9 1.7 0 0
10 1.9 0 0
11 2.1 0 0
12 2.3 0 0
13 2.5 0.00181566 0.00078125
14 2.7 0.0996325 0.0507812
15 2.9 0.383263 0.272656
16 3.1 0.876349 0.852344
17 3.3 1.62388 2.06953
18 3.5 2.34801 4.04922
19 3.7 2.66658 6.56172
20 3.9 2.19492 8.85938
21 4.1 1.4431 10.5289
22 4.3 0.699287 11.4187
23 4.5 0.438947 12.0305
24 4.7 0.37207 12.5961
25 4.9 0.547051 13.5
26 5.1 0.562606 14.507
27 5.3 0.618351 15.7023
28 5.5 0.546056 16.8391
29 5.7 0.757202 18.532
30 5.9 0.877964 20.6352
31 6.1 1.35222 24.0977
32 6.3 1.62443 28.5344
33 6.5 1.56793 33.093
34 6.7 1.51417 37.7703
35 6.9 1.10503 41.3906
36 7.1 0.895464 44.4969
37 7.3 0.722654 47.1469
38 7.5 0.80028 50.2445
39 7.7 0.890419 53.8773
40 7.9 0.936501 57.8992
41 8.1 1.02217 62.5141
42 8.3 1.12067 67.8266
43 8.5 0.927603 72.4383
44 8.7 0.857097 76.9023
45 8.9 0.695313 80.6922
46 9.1 0.668103 84.4992
47 9.3 0.869399 89.6734
48 9.5 1.22253 97.2656
